"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","AWND","AWND_ATTRIBUTES","PGTM","PGTM_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","SNWD","SNWD_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","WDF2","WDF2_ATTRIBUTES","WDF5","WDF5_ATTRIBUTES","WSF2","WSF2_ATTRIBUTES","WSF5","WSF5_ATTRIBUTES","WT01","WT01_ATTRIBUTES","WT02","WT02_ATTRIBUTES","WT03","WT03_ATTRIBUTES","WT04","WT04_ATTRIBUTES","WT05","WT05_ATTRIBUTES","WT06","WT06_ATTRIBUTES","WT08","WT08_ATTRIBUTES","WT09","WT09_ATTRIBUTES"
"USW00094847","DETROIT METRO AIRPORT, MI US","42.23113","-83.33121","191.9","2025-01-01","13.20",",,W"," 1236",",,W","0.01",",,W,2400","0.0","T,,D","0.0",",,D","34","H,,S","37",",,W","30",",,W","  260",",,W","  250",",,W","21.9",",,W","28.0",",,W","    1",",,W",,,,,,,,,,,,,,
"USW00094847","DETROIT METRO AIRPORT, MI US","42.23113","-83.33121","191.9","2025-01-02","13.42",",,W"," 0928",",,W","0.00","T,,W,2400","0.1",",,D","0.0","T,,D","29","H,,S","30",",,W","27",",,W","  280",",,W","  270",",,W","21.0",",,W","29.1",",,W",,,,,,,,,,,,,,,,
"USW00094847","DETROIT METRO AIRPORT, MI US","42.23113","-83.33121","191.9","2025-01-03","13.65",",,W"," 1605",",,W","0.02",",,Z,2400","0.4",",,D","0.0","T,,D","27","H,,S","28",",,W","23",",,W","  290",",,W","  280",",,W","23.9",",,W","32.0",",,W",,,,,,,,,,,,,,,,
"USW00094847","DETROIT METRO AIRPORT, MI US","42.23113","-83.33121","191.9","2025-01-04","14.99",",,W"," 1407",",,W","0.00","T,,W,2400","0.0","T,,D","0.0","T,,D","22","H,,S","25",",,W","19",",,W","  270",",,W","  310",",,W","21.9",",,W","31.1",",,W",,,,,,,,,,,,,,,,
"USW00094847","DETROIT METRO AIRPORT, MI US","42.23113","-83.33121","191.9","2025-01-05","8.28",",,W"," 1014",",,W","0.00","T,,W,2400","0.0","T,,D","0.0","T,,D","20","H,,S","27",",,W","12",",,W","  300",",,W","  290",",,W","16.1",",,W","23.0",",,W",,,,,,,,,,,,,,,,
"USW00094847","DETROIT METRO AIRPORT, MI US","42.23113","-83.33121","191.9","2025-01-06","12.30",",,W"," 1352",",,W","0.01",",,W,2400","0.1",",,D","0.0","T,,D","23","H,,S","28",",,W","21",",,W","   10",",,W","  340",",,W","23.0",",,W","31.1",",,W","    1",",,W",,,,,,,,,,,,,"    1",",,W"
"USW00094847","DETROIT METRO AIRPORT, MI US","42.23113","-83.33121","191.9","2025-01-07","10.74",",,W"," 0745",",,W","0.00","T,,W,2400","0.0","T,,D","0.0","T,,D","24","H,,S","30",",,W","21",",,W","  320",",,W","  330",",,W","21.0",",,W","31.1",",,W",,,,,,,,,,,,,,,,
"USW00094847","DETROIT METRO AIRPORT, MI US","42.23113","-83.33121","191.9","2025-01-08","8.50",",,W"," 0955",",,W","0.00","T,,W,2400","0.0","T,,D","0.0","T,,D","24","H,,S","26",",,W","16",",,W","  300",",,W","  330",",,W","16.1",",,W","25.1",",,W",,,,,,,,,,,,,,,,
"USW00094847","DETROIT METRO AIRPORT, MI US","42.23113","-83.33121","191.9","2025-01-09","5.82",",,W"," 1856",",,W","0.00",",,W,2400","0.0",",,D","0.0","T,,D","17","H,,S","28",",,W","7",",,W","  210",",,W","  220",",,W","13.0",",,W","17.0",",,W",,,,,,,,,,,,,,,,
"USW00094847","DETROIT METRO AIRPORT, MI US","42.23113","-83.33121","191.9","2025-01-10","8.28",",,W"," 1344",",,W","0.16",",,W,2400","3.2",",,D","0.0","T,,D","20","H,,S","26",",,W","15",",,W","  190",",,W","  190",",,W","18.1",",,W","23.9",",,W","    1",",,W",,,,,,,,,,,"    1",",,W",,
